ds,y,yhat,yhat_lower,yhat_upper
2019-09-25,1201955.3699999999,1353956.3354133149,1113025.6648468806,1631328.4850074477
2019-09-26,1777537.8699999999,1348830.6590502255,1080068.2200919916,1624762.986843167
2019-09-27,1277940.9,1330918.3418672571,1076885.1088228498,1597983.5969883273
2019-09-28,1760187.76,1338291.5152005234,1052597.608507994,1611353.295569212
2019-09-29,1376433.72,1357188.9874310605,1088319.161299823,1616938.701198347
2019-09-30,1501790.09,1343284.979649326,1090625.0674816421,1617571.898407123
2019-10-01,1109529.79,1369573.1593242546,1083505.134487164,1636475.1823400997
2019-10-02,1248664.57,1362617.1621771408,1097240.9700232644,1627987.2726653602
2019-10-03,1603410.04,1359385.3038220329,1112076.3085340587,1620870.8078314532
2019-10-04,1494398.0,1342975.9315227051,1068231.8111441934,1613876.359957002
2019-10-05,1290014.97,1351438.7150461318,1081816.5382746225,1627766.2307044482
2019-10-06,1277262.2,1371002.4663230842,1093129.687006826,1653114.4405816821
2019-10-07,1742579.32,1357343.9735734838,1052521.3204359752,1611961.4733773605
2019-10-08,1781909.14,1383471.7671864417,1115378.7085887874,1656004.37881108
2019-10-09,1491342.21,1375976.0173286595,1117825.7062126966,1636914.7920015198
2019-10-10,1239339.24,1371862.284713771,1095586.3413787195,1597869.9515974366
2019-10-11,1157471.02,1354275.6047205,1099259.7295879268,1623247.8558076846
2019-10-12,1505969.0,1361320.242601282,1086971.5317060056,1626574.2944455459
2019-10-13,1676112.48,1379285.756064261,1096086.3468278993,1669137.5115931672
2019-10-14,1109071.91,1363913.9037267084,1100200.2500150318,1628067.3379227484
2019-10-15,1252960.08,1388280.3747390364,1101981.4210667622,1659631.1407524962
2019-10-16,1345412.3,1379042.600223924,1086400.2047448203,1674814.567295386
2019-10-17,1107208.73,1373271.4302765662,1124399.4981946133,1650816.1574449122
2019-10-18,1054189.71,1354173.2183498198,1092976.6623971716,1621071.7872839093
2019-10-19,1297938.72,1359907.7100536327,1054792.0876402052,1646835.897935688
2019-10-20,1469437.84,1376812.42781252,1109971.0463397733,1644193.1534223058
2019-10-21,1333638.83,1360668.1392730852,1098388.5414715484,1649376.2923077135
